,Name,Age,Avg_mark
4463,Chad Coney,30,7.98
1537,Oliva Fiore,30,0.55
2750,Mary Pedigo,30,2.07
4243,Susan Bryant,30,9.99
2745,Larry Holder,30,6.99
2981,Carl Franklin,30,4.79
1428,Lance Vance,30,2.29
2739,Mark Engelhart,30,4.56
39,Leslie Wiggins,30,8.81
2738,Manuel Hazen,30,7.45
2979,Lloyd Jackson,30,7.95
2735,Barbara Dombkowski,30,4.93
113,Marylou Wessner,30,9.46
2584,Carlos Martin,30,5.97
2586,Jadwiga Reynolds,30,9.26
3868,Louis Griffin,30,2.04
2975,Gary Barnett,30,7.59
1549,Micheal Pavlick,30,0.18
2753,Joel Hayward,30,8.14
2571,Felix Pierson,30,7.05
4174,Angela Alexander,30,2.86
2806,Doris Haynes,30,6.0
1582,Jessica Kelly,30,7.96
3759,Lucinda Combs,30,3.76
4964,Barbara Jackson,30,2.02
139,Charles Johnson,30,6.04
137,Amy Wilson,30,2.71
926,Megan Parke,30,3.96
2829,Troy Heimbach,30,1.82
1426,James Lawary,30,9.43
3837,Suzanne Kelley,30,7.98
1571,Mable Harpe,30,7.97
1026,Barbara Mosholder,30,9.08
2551,Rudolph Wise,30,8.57
1331,Opal Lackey,30,1.25
3770,Rhonda Beach,30,0.41
3918,Matthew Hancock,30,8.79
2972,Sandra Boldt,30,5.52
2592,Catherine Williams,30,2.29
3924,Edward Simpson,30,8.12
1483,Tiffany John,30,2.02
2927,Maia Weber,30,5.11
1448,Julio Rojas,30,1.22
4453,Jesse Polster,30,2.61
4430,Scott Rohr,30,0.9
79,Teresa Marotta,30,8.55
3928,Matt Farrow,30,1.36
944,Judy Jones,30,5.81
75,David Jordan,30,2.79
2643,Peter Braswell,30,8.44
2912,Carolyn Coleman,30,0.31
4431,Carol Smith,30,9.15
1479,Kenneth Groover,30,2.12
2875,Raul Bond,30,6.57
1476,Amy Burress,30,2.53
2685,Rose Sanchez,30,3.57
2689,Leslie Torres,30,2.35
772,John Mount,30,8.18
53,Ann Brown,30,5.17
935,Judi Rinks,30,7.73
48,Harry Allen,30,7.35
2722,Wm Peckenpaugh,30,9.79
1335,Ethel Oconnor,30,7.51
2955,Cynthia Eggleston,30,9.24
47,Ronald Cloninger,30,4.95
100,Shirley Johnson,30,9.77
2946,Lee Brasfield,30,7.41
98,Edward Green,30,1.66
3802,Joe Sanos,30,2.17
2640,Rigoberto Shoemaker,30,8.26
4266,Judith Moore,30,3.4
3804,Georgina Prevatte,30,2.01
4263,Melinda Green,30,2.17
4248,Jacqueline Appleby,30,2.05
1510,Sharon Snyder,30,2.04
1501,Edra Strapp,30,2.17
4927,Chris Smith,30,0.95
664,Jacob Schechter,30,1.22
3952,Robert Hastie,30,9.98
4480,James Brown,30,5.56
3735,James Figueroa,30,9.74
4843,Wilson Danforth,30,2.65
1386,Sandra Cutchall,30,7.56
788,Chris Burris,30,0.21
2449,John Rosenthal,30,6.7
1392,Patricia Willsey,30,6.34
3096,Leah Pickle,30,0.15
11,Janice Davis,30,6.02
2454,Kathryn Sanders,30,1.79
3105,Leticia Lang,30,6.68
1587,Ronald Smith,30,2.48
2816,Mimi Barnes,30,3.69
1053,Esther Leith,30,9.29
1617,Russell Gray,30,1.22
1314,Frances Mabe,30,7.04
3077,Mary Martin,30,8.69
3076,Andrew Dunagan,30,3.65
2440,Joseph Pritchard,30,8.2
195,James Reeves,30,3.36
3892,Claudia Love,30,0.5
4,Steve Knight,30,3.7
1063,Carl Sanchez,30,7.12
2418,Michael Mischler,30,6.74
2420,Charles Strickland,30,9.18
4836,Angelo Cortez,30,8.65
1373,Blair Herrington,30,9.62
4837,Mary Royal,30,6.93
1382,Jamie Scott,30,6.04
4838,Victoria Irby,30,7.97
2810,Carly Parker,30,6.34
1301,Robert Happenny,30,2.39
3122,Bobby Powell,30,9.03
1062,Patricia Harris,30,8.62
198,Michele Graves,30,9.06
3901,John Thomas,30,4.53
2436,Joshua Lesher,30,7.53
4218,Geraldine Hull,30,4.19
3074,Kenneth Marrero,30,4.5
3839,Jose Gravitt,30,3.52
2481,Ola Feldman,30,3.06
4861,Michael Webber,30,2.62
4971,Corey Shumake,30,0.63
2491,Margaret Williams,30,3.11
2476,Scott Bravo,30,7.01
1399,Frances Wilburn,30,5.02
1594,James Alexander,30,2.11
3917,Lee Howard,30,4.17
3043,Elizabeth Tripp,30,1.25
3042,Gerald Hayes,30,5.08
2488,Jon Oliver,30,2.32
4868,Cory Fay,30,5.24
19,Wendy Hajek,30,7.69
2824,Nicholas Collins,30,5.06
651,Amanda Schulte,30,1.08
149,Ernestine Jenkins,30,10.0
920,Jose Raisley,30,5.32
648,Roger Golden,30,0.83
745,Kevin Ramirez,30,0.97
1052,Beverly Sowers,30,1.75
1394,Jaime Brown,30,0.33
24,Charles Montano,30,7.4
1608,Bernice Blake,30,3.47
2480,Jan Hogan,30,1.35
2774,Vivian Benton,30,5.63
2515,Tammy Light,30,9.63
172,Marcus Furukawa,30,0.29
3573,Audrey Shurman,29,1.5
1857,Eugene Jackson,29,7.01
3514,Abigail Ramirez,29,2.63
4363,Victor Gonzalez,29,3.28
4038,George Ward,29,4.71
1461,Melissa Kirby,29,3.81
505,Ronald Lucas,29,5.7
534,Thomas Mckenny,29,5.18
4561,Sally Reeves,29,1.67
760,Pamela Winston,29,9.99
4434,Robyn Smith,29,3.88
1406,Steve Simpson,29,9.99
1354,John Franco,29,2.3
1455,Sheila Jones,29,7.94
1904,Alonzo Adam,29,5.58
747,Casey Butler,29,8.82
528,Anita Moore,29,3.1
4039,Mark Reeb,29,4.69
530,Rodney Fitzgerald,29,6.87
515,John Graham,29,0.88
4359,Nellie Campbell,29,8.13
1845,Judith Parker,29,7.45
4045,Travis Seebach,29,6.7
1433,Jimmy Pepper,29,1.74
1398,Eva Craig,29,0.95
1827,Diane Enriquez,29,3.9
1826,Mary Milam,29,4.14
1825,Janice Davis,29,1.72
1438,Mary Lee,29,4.93
526,Andrew Carter,29,8.24
4578,Larry Schutt,29,7.72
1357,Michelle Olsen,29,0.61
4357,Juanita Patterson,29,3.0
3872,Brenda Miller,29,7.5
1896,Heather Reep,29,6.54
1211,Myrtle Frazier,29,7.66
766,Sean Loughry,29,9.98
1446,Thomas Lofgren,29,5.57
4416,Elliot Hunter,29,5.71
1876,Gertie Banks,29,2.5
1884,Cecile Odonnell,29,4.49
3708,Oscar Busch,29,0.69
1468,Howard Monk,29,5.42
3830,Frances Bergman,29,8.67
652,Amanda Mcburney,29,3.67
3747,Adam Elliott,29,3.44
3750,Robert Marshall,29,0.38
3752,Leroy English,29,1.72
656,Jody Amerman,29,7.97
603,Cathy Reynolds,29,4.97
657,Irma Burlew,29,1.11
3754,Melissa Lindemann,29,5.62
660,Curtis Moriarity,29,8.22
1280,Jerry Demello,29,7.11
1323,Fred Ahern,29,5.35
596,Carla Sullivan,29,3.24
594,Adam Johnson,29,5.53
3763,Jerome Richardson,29,1.64
3953,Marie Thomas,29,0.84
1328,Toby Schumacher,29,9.3
4473,William Fielder,29,8.54
1705,Guillermo Harris,29,9.72
1563,Everett Hernandez,29,7.57
1679,Linda Hanson,29,3.18
1315,Terry Riffel,29,9.34
1678,Sherri Martin,29,7.88
3687,Helen Plumer,29,6.92
1654,Daniel Daniels,29,2.35
628,Eddy Bussard,29,6.24
3981,Kenneth Stroup,29,7.11
3694,Kevin Russell,29,8.74
4392,Priscilla Ransdell,29,4.66
1662,Virginia Lee,29,6.77
3689,Elizabeth Burrow,29,0.78
3688,Andrew Pestana,29,7.03
1303,Jody Hight,29,8.09
785,Amanda Abbott,29,7.38
4514,Ruthe Vest,29,1.35
3721,Rufus Smith,29,9.81
3728,Sima Hogan,29,8.49
1310,Janet Booker,29,1.76
3677,Kristi Casteel,29,7.01
1619,Frances Edelen,29,8.86
645,Rupert Fasciano,29,1.93
609,Chandra Highsmith,29,8.35
1272,Eric Baez,29,5.13
3773,Cheryl Ballesteros,29,7.36
678,Roman Ross,29,6.52
4367,Barbara Cook,29,4.11
1765,Thomas Foley,29,4.98
1511,Jennifer Roberts,29,5.88
3599,William Dollyhigh,29,6.42
4456,Anthony Miller,29,2.58
1507,David Chambers,29,1.25
699,Darrell Sotto,29,8.57
1779,Felicia Mills,29,1.09
3814,Richard Gerald,29,9.15
1242,William Fletcher,29,5.7
3610,Margaret Anderson,29,7.01
1491,David Ward,29,1.41
3821,Consuelo Lockett,29,3.98
1790,Gary Watson,29,4.98
3585,David Brocklehurst,29,9.11
1478,Doreen Smith,29,6.88
1351,Pedro Elliott,29,7.17
1793,John Ramirez,29,2.02
3828,Cynthia Wrenn,29,5.67
4017,Patricia Moore,29,2.61
1253,Felipe Mcgowan,29,0.53
1715,Rene Beck,29,4.34
575,Renee Farfalla,29,7.5
682,Paula Shaffer,29,0.65
1535,Maria Borjon,29,7.28
1722,Carissa Adams,29,2.87
3642,Grace Barton,29,9.15
1529,Curtis Ryan,29,9.48
579,Alyson Glover,29,7.2
578,Steven Jageman,29,9.68
805,Christopher Garrison,29,0.76
3950,Richard Thor,29,5.21
3801,Rickie Rodriguez,29,6.17
3627,Jill Allgood,29,0.24
1741,Todd Larrick,29,4.25
3624,Doreen Annino,29,7.63
568,Miguel Dehart,29,8.44
4008,Lisa Williams,29,9.34
3938,Russell Bustos,29,1.23
4009,Rena Taylor,29,8.27
3973,Ann Hall,29,3.3
1519,Carmen Peterson,29,7.3
1403,Steven Crowell,29,4.08
483,Elizabeth Skinner,29,3.29
934,Allen Lischak,29,9.02
2478,Jennifer Wray,29,0.96
4858,Tamara Council,29,6.63
168,George Thigpen,29,4.18
165,Britt Flores,29,0.44
163,Benjamin Kingston,29,2.66
3066,Patrick Rushford,29,7.42
2492,Coleen Tello,29,0.3
2498,Teresa Ford,29,2.94
154,Clemente Parks,29,8.44
3047,Gloria Lanzilotta,29,6.41
4879,Michael Angeles,29,2.23
3037,Florence Sievers,29,4.05
2522,Mable Henderson,29,4.72
924,Adam Acosta,29,8.64
3033,Kelly Stewart,29,5.1
3032,James Cochran,29,7.16
1033,Joanne Luster,29,1.58
1029,Kathleen Boulware,29,1.49
2546,Nathanial Cain,29,5.75
132,Andrew Hibbler,29,8.21
3010,Tara Smith,29,8.32
130,Valerie Zurita,29,9.09
127,Cynthia Kelley,29,7.44
2557,Lou Sumpter,29,0.41
4181,Brenda Howard,29,1.6
4184,Joel Perry,29,1.8
1015,Darlene Drahota,29,6.3
174,Thelma Murray,29,4.53
917,Stephen Strong,29,0.4
2467,Sergio Burnett,29,9.93
4826,John Hinton,29,9.78
903,Peter Gonzalez,29,9.35
2370,Louis Alleyne,29,6.43
4287,Isabella Cull,29,2.9
2378,Brandi Renk,29,2.78
4811,Perry Andrews,29,3.05
3158,Mark Foster,29,3.38
229,Lee Bradley,29,8.91
1072,Vanessa Gonzalez,29,1.18
3154,Allison Goff,29,6.82
3152,Micheal Washington,29,5.91
906,David Martin,29,1.15
3146,Ray Sons,29,8.08
3144,Ruth Morales,29,3.86
4854,Mattie Stewart,29,3.23
2398,James Mckillop,29,6.98
4283,Lannie Doney,29,7.41
4155,Velma Smith,29,7.85
2415,Richard Black,29,9.22
2422,Lorene Ingram,29,2.2
3103,Agatha Mcneill,29,2.15
2441,Irene Farr,29,1.96
3099,Amanda Brown,29,4.14
4160,Vernia Dutchess,29,3.79
2452,Carrie Weber,29,3.48
2453,Christopher Silvia,29,7.68
3091,James Lacy,29,6.57
4901,Merrilee Buisson,29,8.12
2578,Joseph Denning,29,3.83
4289,Jacob Bostwick,29,2.99
2985,Deidre Wines,29,8.94
2710,Mark Silva,29,3.56
4216,Clara Nichols,29,9.32
2716,Caroline Moffit,29,1.65
2718,Steven Brehaut,29,8.82
954,Ralph Souza,29,5.29
2851,Terry Pecoraino,29,0.42
2849,Dann Clark,29,0.09
4247,Matthew Parker,29,7.73
2742,Geneva Graver,29,8.24
2755,Bryan Kasper,29,9.19
31,Rodney Williams,29,9.22
2757,Erin Kea,29,9.58
2768,Larry Trickett,29,6.72
2769,Rachel Harrington,29,5.69
4242,Jennifer Gray,29,9.78
2825,Carmen Moore,29,1.35
2776,Glenda Elrod,29,5.45
2823,Landon Jackson,29,3.02
2779,Sarah Wright,29,4.67
2780,Kim Ruiz,29,8.82
4974,Josephine Renyer,29,0.59
2821,Cheryl Harmon,29,2.48
4978,Chester Williams,29,4.4
4217,Raquel Squires,29,6.27
8,Rodney Tague,29,1.02
2798,Marilynn Tran,29,3.89
4984,David Logan,29,1.55
2868,Scott Austin,29,7.07
4947,Judi Aden,29,4.17
990,Mark Wallace,29,4.02
2642,Elizabeth Harrison,29,6.17
4904,Brandy Cota,29,1.84
2585,Peggy Wilson,29,7.58
2595,Lillian Barajas,29,5.59
2596,Michelle Conley,29,1.32
936,Mary Ridgeway,29,2.43
4267,Margaret Moilanen,29,8.52
940,Lavonda Boyd,29,8.44
2933,Teresa Perry,29,7.36
2632,Frances Coke,29,6.34
2635,Michael Olveda,29,0.07
2636,Anita Mckneely,29,4.1
1007,Esther Meade,29,2.27
4930,James Waggoner,29,5.77
60,Fannie Kittrell,29,0.86
82,Cheryl Holstein,29,0.84
2926,Ruby Burton,29,8.73
2923,Edward Bryson,29,6.42
2916,David Jenkins,29,4.54
1002,Gloria Byrd,29,8.7
2893,Julia Bourgeois,29,1.67
2681,Michael Edmond,29,7.75
2688,Larry Tylor,29,8.59
4939,Sandy Smuin,29,9.19
4942,Pearl Bolton,29,1.75
4254,Thomas Rubin,29,8.49
2694,Lacie Brown,29,6.31
901,Thomas King,29,2.77
4813,Kevin Andren,29,5.42
3178,Kevin Mcglone,29,1.07
4318,Kristy Salcedo,29,1.3
3392,Christine Bieniek,29,3.3
2037,Karen Parr,29,2.34
4635,Thelma Caya,29,5.14
419,Timothy Peck,29,0.91
2049,Patricia Stevens,29,7.57
413,Richard White,29,6.77
2053,Francisco Gross,29,2.83
1152,Denise Gomez,29,8.05
1145,Micheal Calloway,29,9.72
2073,Tricia Powell,29,3.84
1141,Mark Howk,29,8.1
399,David Walker,29,3.24
2094,Pamela Boggan,29,9.62
388,Michael Kelsey,29,4.86
865,Jennifer Kirkpatrick,29,6.61
2100,Herbert Gray,29,1.31
382,Michael Dirden,29,1.12
2101,Margaret Muhr,29,5.62
380,Lee Dardar,29,7.93
2340,Marcelina Tusa,29,5.13
3336,Paul Dodd,29,9.21
3334,Salvador Sweeney,29,7.77
3333,Brian Williams,29,5.02
2118,Eric Krieger,29,1.79
3331,Alfred Christiano,29,2.15
4695,April Isip,29,8.71
4696,Matthew Amos,29,0.71
2034,Jason Buziak,29,0.82
2033,Lori Humphrey,29,0.29
4080,Douglass Abraham,29,7.04
1985,Douglas Freeman,29,7.62
1935,April Smith,29,2.48
4056,John Campbell,29,4.22
839,Arthur Guthmiller,29,1.46
3481,Teresa Cornejo,29,3.56
469,Clara Moore,29,3.59
1189,Melanie Harris,29,2.25
463,Kim Nuttall,29,9.8
3458,Connie Lovelace,29,5.22
1974,Raul Smith,29,4.48
3449,Leslie Dotson,29,0.25
1980,Mae Brown,29,2.05
3441,Terry Brown,29,4.12
3440,Margaret Alejandro,29,2.37
2027,James Warkentin,29,4.26
4611,Pedro Davis,29,3.87
1994,Robert Brown,29,0.92
846,Stevie Guymon,29,6.63
445,Dave Longbrake,29,0.99
444,Diana Oliver,29,5.79
2008,Jed Shelnutt,29,4.57
4613,Richard Miller,29,6.22
2016,Joseph Locher,29,5.76
4616,Thomas Wison,29,2.41
2020,Jessica Horn,29,2.12
2026,Kelly Gates,29,5.01
430,Edward Mccary,29,2.84
4699,Christopher Mathis,29,8.51
2107,Louise Wright,29,3.06
3266,Wayne Jones,29,7.13
880,Patrick Gang,29,5.52
3278,Lynetta Oneill,29,7.9
2204,Diana Henry,29,0.18
3274,Stephen Calderon,29,7.38
3272,Katherine Lessman,29,7.65
4705,James Lynch,29,7.99
4747,Ruth Blake,29,2.9
4303,Alice Flores,29,4.36
2226,Sean Radford,29,4.8
2227,Maria Diaz,29,8.16
4302,Richard Northup,29,3.87
2233,Raymond Fraiser,29,1.08
2250,Danny Wilson,29,9.56
3236,Sarah Sneed,29,4.01
2263,Denise Allman,29,7.35
4128,Donna Dvorak,29,8.04
4770,Theressa Laird,29,6.35
2276,Gladys Cook,29,4.81
290,Alberto Young,29,1.01
3225,Patricia Rich,29,3.09
2283,Robert Hernandez,29,4.2
4774,Megan Butts,29,1.38
4775,Adam Bennett,29,4.23
3220,Jeffrey Caldwell,29,3.89
4780,Rocky Magyar,29,0.78
3211,Sheila Mcmullen,29,4.63
2325,Jack Hernandez,29,8.67
1083,Anna Blake,29,4.12
1114,Janice Winters,29,3.51
4676,Helen Jackson,29,5.43
346,Scot Flesher,29,9.75
4309,Kyle Smith,29,9.65
2179,Angela Christian,29,4.41
3313,Erin Trantham,29,4.93
3289,Robert Milner,29,2.75
3304,Patricia Bernat,29,4.41
3299,Vincent Carlson,29,8.6
3306,Albert Manriquez,29,7.62
3308,Dorothy Morgan,29,0.61
2192,Kaitlyn Baudino,29,1.19
3295,Richard Dishon,29,9.14
3285,Ruby Moriarty,29,4.3
333,Lewis Skinner,29,1.85
1122,Antony Ackerman,29,9.37
1362,Kathy Canipe,28,7.95
1207,Kelley Broadway,28,4.16
1369,Margaret Cherubino,28,7.33
4102,Justin Sanchez,28,2.99
1332,Tina Jastrebski,28,1.25
1124,Ruth Palm,28,0.56
4129,Gretchen Weiss,28,1.99
3989,Henry Stevens,28,5.31
3985,Larry Reece,28,4.31
4061,Nathaniel Massey,28,7.12
4177,Deborah Foucault,28,3.06
4115,Michael Galloway,28,4.46
4149,Rebekah Holliday,28,2.15
972,Mildred Irving,28,3.38
1205,Bernice Garcia,28,7.42
3951,David Carpenter,28,0.82
1040,William Seamon,28,4.53
1360,Martha Moore,28,9.17
1136,Seth Flynn,28,0.56
4199,Joyce Sanders,28,3.26
4023,Arnold Smith,28,9.65
4200,Benjamin Cravens,28,3.95
1112,Betty Verdino,28,2.05
994,Anthony Gresham,28,0.29
1118,Margaret Turner,28,9.16
1353,Vivian Styles,28,5.22
3937,Rosa Guerra,28,0.86
4203,Debra Hussain,28,8.08
4033,Joshua Carpenter,28,2.19
1374,Earl Fraiser,28,6.03
1355,Wilma Bertran,28,5.0
1308,Michael Waller,28,0.9
1227,Georgia Jones,28,9.82
1050,James Dixon,28,0.92
4198,Jerry Repinski,28,3.47
4210,Mabel Eley,28,8.5
1060,Felicia Carmody,28,8.17
1046,William Bowen,28,7.8
3976,Gerald Nelson,28,1.76
4018,Ann Hunter,28,1.17
3505,Crystal Campbell,28,8.79
1380,Tena Williams,28,7.54
2334,Abigail Johnson,28,7.0
2264,Doris Hancock,28,9.54
2265,Melvin Mendez,28,0.43
2271,Billy Moses,28,6.45
2288,Edward Cornett,28,7.59
2289,Kevin Clark,28,1.8
2290,Dessie Sapp,28,8.69
3216,Candice Webb,28,1.31
3192,Bessie Cantell,28,9.35
2326,Steve Furr,28,0.6
3187,Sara Terry,28,0.32
3182,Julie Cordes,28,6.32
3231,Linda Venzke,28,8.03
2348,Greg Siebert,28,5.38
3172,Shane Painter,28,5.1
2361,Rosemarie Parsons,28,3.47
3168,Latanya Ligon,28,5.22
2371,William Page,28,3.07
3157,Kevin Molina,28,5.46
3149,Rosalina Betzer,28,3.17
2399,Viola Rainey,28,4.17
2402,Gregory Goforth,28,3.46
2404,Javier Griffin,28,6.73
2254,Tracy Cleek,28,6.41
2237,Joel Mayhugh,28,3.93
3356,Joshua Eaves,28,9.55
3311,Kim Carr,28,9.44
2090,Howard Kidd,28,0.88
3345,Susan Suben,28,5.46
3342,Katherine Moore,28,9.89
3341,Holly Lyons,28,0.67
2098,Shawn Finnegan,28,4.51
2117,Heather Lanier,28,4.52
2120,Nancy Hall,28,2.56
2124,Nathan Holland,28,4.23
2139,Theresa Wood,28,9.72
2145,Justin Hyatt,28,4.23
2150,David Kohm,28,1.44
3261,Alejandro Lines,28,8.88
3297,Roberto Bruner,28,9.43
2172,Harvey Miller,28,0.64
2176,Antoinette Chapman,28,2.09
2185,Michael Inman,28,1.55
3287,Steven Cunningham,28,2.21
2199,Richard Thompson,28,6.38
2200,James Wirth,28,3.12
2201,Fannie Strawbridge,28,7.9
2208,Alfred Bates,28,9.75
2221,Regina Ulibarri,28,8.0
2413,Ann Puckett,28,5.23
2416,Patrick Whittington,28,6.44
2417,Alan Ball,28,9.73
2882,John Mikowski,28,1.33
2621,Laura Bahr,28,2.85
2626,William Mortenson,28,1.06
